NR Palety;Item Desc;EAN;ASIN;LPN;Unit Retail;WARTOŚĆ;;SUMA;Odbiorca:;Restock;18,00%;;;DEPARTMENT;GL DESCRIPTION;CategoryCode;CATEGORY;SubcatCode;SUBCATEGORY
90029521188;LEGO Star Wars R2-D2 Figura de Droide de Juguete de ConstrucciĂłn, Maqueta Coleccionable de Personaje de PelĂ­culas, Regalo para NiĂ±os y NiĂ±as de 10 AĂ±os o MĂˇs o Coleccionistas y Fans de la Saga 75379;5,70202E+12;B0CFVZC2GF;LPNWE291883618;89,95;89,95;;;;;;;;Toy;gl_toy;2102000;Building Sets;2102001;Building Sets (3 Years Old and More)
90029521188;Famogames Pasapalabra ElectrĂłnico, Juego De Mesa Familiar Original Del Programa De TelevisiĂłn, Con Un Rosco De Luces Y Muchas Preguntas, Para Jugar Con Amigos Y NiĂ±os +3 AĂ±os, en EspaĂ±ol;8,41078E+12;B09QKZP39V;LPNWE291326469;86,715;86,715;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100301;Family Board / Action
90029481807;Lexibook Powerman Star - Ferngesteuerter laufender sprechender Spielzeugroboter STEM Programmierbar fĂĽr Kinder ab 4 - ROB85DE;3,38074E+12;B0995T6L9L;LPNHE923294990;82,53;82,53;;;;;;;;Toy;gl_toy;2100800;Action Figures & Accessories;2101304;
16742257;tigermedia tigerbox Startpaket rot WLAN Box Streamingbox Audioplayer Kinder HĂ¶rspiel HĂ¶rbuch Lieder Kinderzimmer Geschenkidee MĂ¤dchen Geburtstag;4,26054E+12;B08L2RLC6T;LPNHE803536778;79,99;79,99;;;;;;;;Toy;gl_toy;2101300;;2101305;
16742813;tigermedia tigerbox Startpaket rot WLAN Box Streamingbox Audioplayer Kinder HĂ¶rspiel HĂ¶rbuch Lieder Kinderzimmer Geschenkidee MĂ¤dchen Geburtstag;4,26054E+12;B08L2RLC6T;LPNHE838518210;79,99;79,99;;;;;;;;Toy;gl_toy;2101300;;2101305;
16742257;VTech Kidi DJ Mix, Console da DJ per Bambini, Effetti Luminosi da Concerto, DJ Mix da Bambini con Microfono, Collega il Tuo Lettore MP3, Jack o Bluetooth, Lingua Italiana, Batterie Incluse, 6+ Anni;3,41777E+12;B0CC6DP632;LPNHE797889725;79,97;79,97;;;;;;;;Toy;gl_toy;2102100;All Other;2102103;Youth Electronics / Communication
90029481807;Overmax X-Monster Truck, 2,4 GHz, Ferngesteuertes RC Auto 45 km/h, 1:18 Proportional, 4WD, Offroad Monster RC Truck, 2 Akkus, Allrad, 100m Reichweite, Buggy verbesserter Fernbedienung;5,90258E+12;B07BZS1RTJ;LPNHK397626711;78,21;78,21;;;;;;;;Toy;gl_toy;2100400;Vehicles;2100406;Remote Control Vehicles
16742813;Hot Wheels Barbie The Movie Corvette RC, macchinina a Pile radiocomandata Ispirata al Film Barbie, 2 Bambole Incluse, Bagagliaio apribile per Contenere Gli Accessori, Giocattolo, 4+ Anni, HPW40;1,94735E+11;B0BCMDJMHZ;LPNHE840997014;77,13;77,13;;;;;;;;Toy;gl_toy;2100400;Vehicles;2100405;Radio Controlled Kits
16742257;LEGO Harry Potter Der Sprechende Hut, Hogwarts-Modell fĂĽr Erwachsene, Film-Geschenk fĂĽr Frauen, MĂ¤nner, Mama und Papa, mit zufĂ¤lligen 31 Klangkombinationen, Sortiert Dich in Dein Hogwarts Haus 76429;5,70202E+12;B0CFVZNGK7;LPNHE848131191;72,99;72,99;;;;;;;;Toy;gl_toy;2102000;Building Sets;2102001;Building Sets (3 Years Old and More)
16742257;LEGO Harry Potter Der Sprechende Hut, Hogwarts-Modell fĂĽr Erwachsene, Film-Geschenk fĂĽr Frauen, MĂ¤nner, Mama und Papa, mit zufĂ¤lligen 31 Klangkombinationen, Sortiert Dich in Dein Hogwarts Haus 76429;5,70202E+12;B0CFVZNGK7;LPNHE848131190;72,99;72,99;;;;;;;;Toy;gl_toy;2102000;Building Sets;2102001;Building Sets (3 Years Old and More)
16742257;Lexibook- Powerman MAX Robot de Juguete Parlante, Multicolor (ROB80ES);3,38074E+12;B08CK2K364;LPNIC107330977;69,99;69,99;;;;;;;;Toy;gl_toy;2101800;Learning & Exploration;2101805;
16742257;Lexibook Lexibook-ROB80IT Powerman Max Telecomando STEM Programmabile Balla Canta e Racconta 10.000 Storie 300+ Apprendimento, Colore, 3+ anni;3,38074E+12;B0995RD7NZ;LPNA047531057;69,99;69,99;;;;;;;;Toy;gl_toy;2100200;Arts, Crafts & School Supplies;2100202;Sculpture Kits / Supplies
90029481807;tonies Toniebox Starter Set inkl. 1 Kreativ Figur â€“ Audioplayer fĂĽr HĂ¶rbĂĽcher und Lieder fĂĽr Kinder, einfach zu bedienende kabellose Musikbox BZW. Lautsprecher, 7 Std. Akku, Beere;4,25119E+12;B07HBCFMDW;LPNHE903330931;69,525;69,525;;;;;;;;Toy;gl_toy;2100100;Dolls;2100105;Large Dolls
90029521188;Rubies Homelander Deluxe KostĂĽm fĂĽr Erwachsene, Jumpsuit mit digital bedruckter Muskelbrust, Umhang und Handschuhe, offizielles The Boys fĂĽr Karneval, Halloween, Weihnachten und Partys;1,95884E+11;B09S5KRXWP;LPNHK396739666;68,83;68,83;;;;;;;;Toy;gl_toy;2101300;;2101331;
90029521188;Smiffys GroĂźer BĂ¶ser Wolf-KostĂĽm, Deluxe, Grau, mit Jacke, abnehmbarem Schwanz, vorgetĂ¤uschtem Hemd, Maske und Handschuhe;5,02057E+12;B01J5FMXHI;LPNHE919832316;67,51;67,51;;;;;;;;Toy;gl_toy;2100900;Outdoor & Sports Toys;2100902;Sports Activities & Games
16742257;Furby Corallo, giocattolo di peluche interattivo, Versione Italiana;5,011E+12;B0C8BKX6BX;LPNHE828158777;66,9;66,9;;;;;;;;Toy;gl_toy;2100700;Plush;2100711;Special Feature Plush
90029481807;AYYOHON Prinzessinnenkleid fĂĽr Damen, Halloween, Prinzessin, Cosplay, KostĂĽm, Krone, Ohrringe, Handschuhe, Set, ErwachsenenkostĂĽm, GrĂ¶Ăźe M;8,60679E+12;B0C392S84S;LPNIC125394046;66,405;66,405;;;;;;;;Toy;gl_toy;;;;
16742257;B. toys â€“ B. Symphony Musical Orchestra fĂĽr Kinder â€“ 13 Musikinstrumente fĂĽr Klassische Musik fĂĽr Babys und Kinder â€“ Interaktives Orchester Musik Spielzeug mit Licht und 15 Liedern;7,87793E+11;B00A0EHZ22;LPNHE846199581;65,95;65,95;;;;;;;;Toy;gl_toy;2100600;Infants/Preschool;2100620;Ps Musical Instruments
16742813;AMZHOTER Dirndl Damen midi Trachtenkleid Trachtenmode Trachtenrock Kleid inkl. Dirndlbluse DirndlschĂĽrze 3 teilig fĂĽr Oktoberfest Besondere AnlĂ¤sse Grau 42;;B09ZPBZ33J;LPNRP013612539;65,415;65,415;;;;;;;;Toy;gl_toy;;;;
90029481807;Smiffys KostĂĽm Top Gun, GrĂĽn, mit Overall, Namensschild & Brille;5,02057E+12;B002RC86B4;LPNHE921763657;64,97;64,97;;;;;;;;Toy;gl_toy;2100900;Outdoor & Sports Toys;2100902;Sports Activities & Games
16742257;Jeu dâ€™Ă©checs HĂ©ros de la Surface VS Monstres - Minecraft;8,49421E+11;B0CJYJCLZS;LPNHE844889761;64,9;64,9;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100303;Adult Games
90029521188;Lunii - Ma Fabrique Ă  Histoires ModĂ¨le 2 -Conteuse pour enfants de 3 Ă  8 ans - Album de 48 histoires audio interactives inclus - BoĂ®te Ă  histoires fabriquĂ©e en France;3,77001E+12;B08FRRHG4V;LPNHE946266175;64,8;64,8;;;;;;;;Toy;gl_toy;2102500;;2102502;
90029521188;MĂ¤rklin 76472 Licht-Gleissperrsignal, One Size;4,00188E+12;B00ICKLUVS;LPNHE945413209;64,33;64,33;;;;;;;;Toy;gl_toy;2100400;Vehicles;2100412;Non-Powered Trucks
16742813;BABY born Magic Girl, Babypuppe mit 10 Funktionen fĂĽr Kinder ab 3 Jahren, funktioniert ohne Batterie, 43cm groĂź, 827956 Zapf Creation;4,00117E+12;B0854YMGK7;LPNRP021585732;63,36;63,36;;;;;;;;Toy;gl_toy;2100100;Dolls;2100112;Fashion Doll Accessories
90029481807;VTech - Genius XL Color Pro Bilingue Gris Argent, Ordinateur Enfant avec Ă‰cran Couleur, Souris, 90 ActivitĂ©s Ă‰ducatives et Ă‰volutives, Cadeau Enfant de 6 Ans Ă  11 Ans - Contenu en FranĂ§ais et Anglais;3,41776E+12;B00DM7TSSS;LPNHE930702540;60,73;60,73;;;;;;;;Toy;gl_toy;2102500;;2102503;
90029481807;VTech - Genius XL Color Pro Bilingue Rose, Ordinateur Enfant avec Ă‰cran Couleur, Souris, 90 ActivitĂ©s Ă‰ducatives et Ă‰volutives, Cadeau Enfant de 6 Ans Ă  11 Ans - Contenu en FranĂ§ais et Anglais;3,41776E+12;B00M11OVF6;LPNHE901823355;60,73;60,73;;;;;;;;Toy;gl_toy;2102500;;2102503;
90029481807;Star Wars Hasbro Gaming The Child elektronische Edition mit ĂĽber 25 Sound- und Bewegungskombinationen, The Mandalorian Spielzeug;5,01656E+12;B084PTVQLZ;LPNHE940578612;60,64;60,64;;;;;;;;Toy;gl_toy;2100800;Action Figures & Accessories;2100801;Action Figures
